TransactionId,FraudResult
TransactionId_50228,0.0
TransactionId_106292,1.0
TransactionId_112305,1.0
TransactionId_3281,0.0
TransactionId_107510,1.0
TransactionId_173393,1.0
TransactionId_159100,1.0
TransactionId_46520,0.0
TransactionId_136862,1.0
TransactionId_152278,1.0
TransactionId_23189,0.0
TransactionId_30243,0.0
TransactionId_93818,0.0
TransactionId_136396,0.9989149175661082
TransactionId_88436,0.0
TransactionId_104334,1.0
TransactionId_164153,1.0
TransactionId_151813,1.0
TransactionId_113598,1.0
TransactionId_186117,1.0
TransactionId_123143,1.0
TransactionId_38738,0.0
TransactionId_45216,0.0
TransactionId_166293,1.0
TransactionId_87946,0.0
TransactionId_2857,0.0
TransactionId_159678,1.0
TransactionId_136125,1.0
TransactionId_154271,1.0
TransactionId_147108,1.0
TransactionId_75894,0.0
TransactionId_84854,0.0
TransactionId_143301,1.0
TransactionId_19999,0.0
TransactionId_137471,1.0
TransactionId_8761,0.0
TransactionId_40988,0.0
TransactionId_26196,0.0
TransactionId_8443,0.0
TransactionId_144881,1.0
TransactionId_4773,0.0
TransactionId_157969,1.0
TransactionId_41553,0.0
TransactionId_139138,1.0
TransactionId_2594,0.0
TransactionId_131229,1.0
TransactionId_120210,1.0
TransactionId_43665,0.0
TransactionId_131997,1.0
TransactionId_89803,0.0
TransactionId_103913,1.0
TransactionId_41260,0.0
TransactionId_5307,0.0
TransactionId_20887,0.0
TransactionId_93011,0.0
TransactionId_182938,1.0
TransactionId_108247,1.0
TransactionId_152063,1.0
TransactionId_123236,1.0
TransactionId_174433,1.0
TransactionId_110958,1.0
TransactionId_66447,0.0
TransactionId_76864,0.0
TransactionId_14232,0.0
TransactionId_16266,0.0
TransactionId_145830,1.0
TransactionId_168576,1.0
TransactionId_140528,1.0
TransactionId_86455,0.0
TransactionId_138879,1.0
TransactionId_55880,0.0
TransactionId_189922,1.0
TransactionId_126799,1.0
TransactionId_144793,1.0
TransactionId_180579,1.0
TransactionId_18365,0.0
TransactionId_3085,0.0
TransactionId_158722,1.0
TransactionId_131162,1.0
TransactionId_38525,0.0
TransactionId_108843,1.0
TransactionId_160906,1.0
TransactionId_186512,1.0
TransactionId_144830,1.0
TransactionId_108276,1.0
TransactionId_54535,0.0
TransactionId_106044,1.0
TransactionId_56256,0.0
TransactionId_84297,0.0
TransactionId_189911,1.0
TransactionId_116876,1.0
TransactionId_164996,1.0
TransactionId_119529,1.0
TransactionId_71410,0.0
TransactionId_71891,0.0
TransactionId_15932,0.0
TransactionId_123132,1.0
TransactionId_81853,0.0
TransactionId_11550,0.0
TransactionId_17767,0.0
TransactionId_79743,0.0
TransactionId_53970,0.0
TransactionId_47450,0.0
TransactionId_161515,1.0
TransactionId_135795,1.0
TransactionId_54458,0.0
TransactionId_175837,1.0
TransactionId_44557,0.0
TransactionId_32332,0.0
TransactionId_87006,0.0
TransactionId_127119,1.0
TransactionId_188287,1.0
TransactionId_142544,1.0
TransactionId_185954,1.0
TransactionId_185878,1.0
TransactionId_142502,1.0
TransactionId_130785,1.0
TransactionId_92423,0.0
TransactionId_83026,0.0
TransactionId_133859,1.0
TransactionId_143734,1.0
TransactionId_157532,1.0
TransactionId_184215,1.0
TransactionId_143629,1.0
TransactionId_64217,0.0
TransactionId_65970,0.0
TransactionId_15420,0.0
TransactionId_76415,0.0
TransactionId_180048,1.0
TransactionId_45738,0.0
TransactionId_34745,0.0
TransactionId_74926,0.0
TransactionId_145525,1.0
TransactionId_177138,1.0
TransactionId_103164,1.0
TransactionId_111914,1.0
TransactionId_145003,1.0
TransactionId_140678,1.0
TransactionId_9595,0.0
TransactionId_94425,0.0
TransactionId_12936,0.0
TransactionId_70401,0.0
TransactionId_18833,0.0
TransactionId_117330,1.0
TransactionId_165261,1.0
TransactionId_189441,1.0
TransactionId_1946,0.0
TransactionId_125477,1.0
TransactionId_125808,1.0
TransactionId_5865,0.0
TransactionId_184134,1.0
TransactionId_86522,0.0
TransactionId_119585,1.0
TransactionId_185875,1.0
TransactionId_155932,1.0
TransactionId_189134,1.0
TransactionId_100062,1.0
TransactionId_44029,0.0
TransactionId_70551,0.0
TransactionId_69952,0.0
TransactionId_155879,1.0
TransactionId_121450,1.0
TransactionId_119984,1.0
TransactionId_187978,0.9989149175661082
TransactionId_94558,0.0
TransactionId_45150,0.0
TransactionId_68585,0.0
TransactionId_131190,1.0
TransactionId_23259,0.0
TransactionId_65905,0.0
TransactionId_61149,0.0
TransactionId_41668,0.0
TransactionId_167243,1.0
TransactionId_130823,1.0
TransactionId_150761,1.0
TransactionId_91984,0.0
TransactionId_75867,0.0
TransactionId_75097,0.0
TransactionId_45810,0.0
TransactionId_55608,0.0
TransactionId_32958,0.0
TransactionId_57752,0.0
TransactionId_126205,1.0
TransactionId_78517,0.0
TransactionId_162167,1.0
TransactionId_41087,0.0
TransactionId_170223,1.0
TransactionId_24859,0.0
TransactionId_13474,0.0
TransactionId_72670,0.0
TransactionId_177211,1.0
TransactionId_13110,0.0
TransactionId_122497,0.99
TransactionId_167220,1.0
TransactionId_35446,0.0
TransactionId_22349,0.0
TransactionId_143694,1.0
TransactionId_131498,1.0
TransactionId_178681,1.0
TransactionId_102702,1.0
TransactionId_128639,1.0
TransactionId_109056,1.0
TransactionId_124025,1.0
TransactionId_125621,1.0
TransactionId_61557,0.0
TransactionId_62176,0.0
TransactionId_68547,0.0
TransactionId_66737,0.0
TransactionId_93812,0.0
TransactionId_16729,0.0
TransactionId_160095,0.99
TransactionId_57849,0.0
TransactionId_126813,1.0
TransactionId_109830,1.0
TransactionId_165245,0.9989149175661082
TransactionId_140319,1.0
TransactionId_94084,0.0
TransactionId_6716,0.0
TransactionId_121849,1.0
TransactionId_35583,0.0
TransactionId_151103,1.0
TransactionId_105984,1.0
TransactionId_596,0.0
TransactionId_76860,0.0
TransactionId_130455,1.0
TransactionId_123673,1.0
TransactionId_24090,0.0
TransactionId_94384,0.0
TransactionId_132648,1.0
TransactionId_73496,0.0
TransactionId_182815,1.0
TransactionId_44576,0.0
TransactionId_151676,1.0
TransactionId_162457,1.0
TransactionId_24845,0.0
TransactionId_27072,0.0
TransactionId_129569,1.0
TransactionId_62060,0.0
TransactionId_161042,1.0
TransactionId_2464,0.0
TransactionId_158084,1.0
TransactionId_70195,0.0
TransactionId_74750,0.0
TransactionId_111975,1.0
TransactionId_119366,1.0
TransactionId_25375,0.0
TransactionId_152089,1.0
TransactionId_6976,0.0
TransactionId_189909,1.0
TransactionId_33953,0.0
TransactionId_167969,1.0
TransactionId_99065,1.0
TransactionId_151159,1.0
TransactionId_161724,1.0
TransactionId_13139,0.0
TransactionId_31613,0.0
TransactionId_93086,0.0
TransactionId_75596,0.0
TransactionId_169529,1.0
TransactionId_25484,0.0
TransactionId_163787,1.0
TransactionId_154309,1.0
TransactionId_146953,1.0
TransactionId_180207,1.0
TransactionId_80364,0.0
TransactionId_153267,1.0
TransactionId_61501,0.0
TransactionId_93166,0.0
TransactionId_163256,1.0
TransactionId_39040,0.0
TransactionId_174056,1.0
TransactionId_134491,1.0
TransactionId_180684,1.0
TransactionId_48669,0.0
TransactionId_122100,1.0
TransactionId_81095,0.0
TransactionId_77053,0.0
TransactionId_56646,0.0
TransactionId_57469,0.0
TransactionId_112771,1.0
TransactionId_127758,1.0
TransactionId_188607,1.0
TransactionId_122142,1.0
TransactionId_66105,0.0
TransactionId_115768,1.0
TransactionId_120650,1.0
TransactionId_35664,0.0
TransactionId_187261,1.0
TransactionId_42920,0.0
TransactionId_28270,0.0
TransactionId_164294,1.0
TransactionId_51140,0.0
TransactionId_91920,0.0
TransactionId_45812,0.0
TransactionId_180885,1.0
TransactionId_117281,1.0
TransactionId_158460,1.0
TransactionId_162518,1.0
TransactionId_13012,0.0
TransactionId_53030,0.0
TransactionId_94321,0.0
TransactionId_112359,1.0
TransactionId_32411,0.0
TransactionId_46997,0.0
TransactionId_3906,0.0
TransactionId_103167,1.0
TransactionId_166892,1.0
TransactionId_8046,0.0
TransactionId_63919,0.0
TransactionId_30876,0.0
TransactionId_78868,0.0
TransactionId_157197,1.0
TransactionId_57448,0.0
TransactionId_112724,1.0
TransactionId_90901,0.0
TransactionId_43359,0.0
TransactionId_142347,1.0
TransactionId_75279,0.0
TransactionId_73608,0.0
TransactionId_122709,0.9989149175661082
TransactionId_136903,1.0
TransactionId_26790,0.0
TransactionId_44110,0.0
TransactionId_168398,1.0
TransactionId_53403,0.0
TransactionId_52752,0.0
TransactionId_149053,1.0
TransactionId_38115,0.0
TransactionId_178636,1.0
TransactionId_42198,0.0
TransactionId_177338,1.0
TransactionId_148287,1.0
TransactionId_154332,1.0
TransactionId_79643,0.0
TransactionId_150199,1.0
TransactionId_28851,0.0
TransactionId_15446,0.0
TransactionId_23087,0.0
TransactionId_141946,1.0
TransactionId_19421,0.0
TransactionId_105137,1.0
TransactionId_120557,1.0
TransactionId_38133,0.0
TransactionId_178068,1.0
TransactionId_48670,0.0
TransactionId_156598,1.0
TransactionId_57902,0.0
TransactionId_19711,0.0
TransactionId_26620,0.0
TransactionId_20810,0.0
TransactionId_140789,1.0
TransactionId_49291,0.0
TransactionId_94866,0.0
TransactionId_10594,0.0
TransactionId_101650,1.0
TransactionId_102386,1.0
TransactionId_175503,1.0
TransactionId_20293,0.0
TransactionId_139088,1.0
TransactionId_27987,0.0
TransactionId_155902,1.0
